log(k);k;average increase of degree between 5th and 7th generation; cumulative distribution(k); log(cumulative distribution)
0;1;0.320930232558;0.320930232558;-0.493589369178539
0.301029995663981;2;0.272069464544;0.320930232558;-0.493589369178539
0.477121254719662;3;0.601123595506;0.922053828064;-0.035243724771978
0.602059991327962;4;0.344537815126;1.26659164319;0.102636618281192
0.698970004336019;5;1.05072463768;2.31731628087;0.364985312884651
0.778151250383644;6;1.18072289157;3.49803917244;0.543824668572983
0.845098040014257;7;1.74137931034;5.23941848278;0.719283087797779
0.903089986991943;8;4.05263157895;9.29205006173;0.968111540933894
0.954242509439325;9;1.70967741935;11.00172748108;1.04146088303067
1;10;1.86206896552;12.8637964466;1.10936915929478
1.04139268515823;11;3.09677419355;15.96057064015;1.20304841467373
1.07918124604762;12;3.22222222222;19.18279286237;1.28291183726716
1.11394335230684;13;3.3;22.48279286237;1.35185025927144
1.14612803567824;14;3.22580645161;25.70859931398;1.41007841554677
1.17609125905568;15;2.58823529412;28.2968346081;1.45173785640335
1.20411998265592;16;4.14;32.4368346081;1.51103846639887
1.23044892137827;17;2.6;35.0368346081;1.54452486306875
1.25527250510331;18;4.92857142857;39.96540603667;1.60168422963142
1.27875360095283;19;6.18518518519;46.15059122186;1.66417726901841
1.30102999566398;20;0.111111111111;46.261702332971;1.66522160984863
1.32221929473392;21;4.73333333333;50.995035666301;1.70752789986911
1.34242268082221;22;1.14285714286;52.137892809161;1.7171534748598
1.36172783601759;23;0.5;52.637892809161;1.72129849535379
1.38021124171161;24;1;53.637892809161;1.72947170804367
1.39794000867204;25;0.5;54.137892809161;1.73350134786664
1.41497334797082;26;1;55.137892809161;1.74145016476503
1.44715803134222;28;1;56.137892809161;1.74925610693524
1.46239799789896;29;0;56.137892809161;1.74925610693524
1.47712125471966;30;1.33333333333;57.471226142491;1.75945046285907
1.49136169383427;31;3;60.471226142491;1.78154877465058
1.50514997831991;32;2.5;62.971226142491;1.7991421497374
1.51851393987789;33;9;71.971226142491;1.8571589016368
1.53147891704226;34;3.05555555556;75.026781698051;1.87521631762497
1.54406804435028;35;4.375;79.401781698051;1.89983024767836
1.55630250076729;36;56.5;135.901781698051;2.13322515045258
1.56820172406699;37;29.5;165.401781698051;2.21854018343578
1.6232492903979;42;70;235.401781698051;2.37180974558772
1.68124123737559;48;0;235.401781698051;2.37180974558772

