cycle length;number of cycles;all compounds;unique compounds;diversity;similarity
2;1474;2948;1895;0.642808683853;0.016960651289
3;420;1260;622;0.493650793651;0.104761904762
4;247;988;412;0.417004048583;0.206477732794
5;286;1430;302;0.211188811189;0.346153846154
6;713;4278;447;0.104488078541;0.443197755961
7;1928;13496;508;0.0376407824541;0.527489626556
8;6765;54120;556;0.010273466371;0.547228381375
9;21062;189558;608;0.00320746156849;0.632988320198
10;81101;811010;621;0.000765711890112;0.60656465395
11;251711;2768821;624;0.000225366681342;0.629070640536
